Artist,Title,Color,Year,Notes,Discogs Link,Size
Blue Meanies,The Post Wave,Picture Disc,2000,,,12
Bob Marley,Legend,Black,1984,,,12
Bob Marley and the Wailers,Rastaman Vibration,Black,1976,,,12
Bob Marley and the Wailers,Exodus,Black,1977,,,12
Bob Marley and the Wailers,Uprising,Black,1980,,,12
Bone Thugs N Harmony,East 1999 Eternal,Black,1995,,,12
Bone Thugs N Harmony,BTNHResurrection,Black,2000,,,12
Boston Strangler,Primitive,Black,2012,,,12
Brand New,Deja Entendu,Black,2003,Original Press,,12
Brand New,Devil and God are Boning Inside Me,Black/Blue,2006,AFS Press,,12
Breathe In,From This Day On,Black,2001,,,12
Burning Love,Songs for Burning Lovers,Black,2010,,,12
Capital,Homefront,Gold,2007,,,12
Carry On,A Life Less Plagued,Black,2001,Original Press,,12
Catch 22,Keasbey Nights,Black,1998,,,12
Ceremony,Violence Violence,Black/Splatter,2006,,,12
Ceremony,Still Nothing Moves You,Black,2008,,,12
Ceremony,Rohnert Park,Red,2010,,,12
Ceremony,Covers,Red,2011,,,12
Ceremony,Zoo,Red,2012,,,12
Champion,Promises Kept,Gray,2004,B9 Press,,12
Chisel,8AM All Day,Black,1995,,,12
Chisel,Set You Free,Black,1997,,,12
Chisel ,Nothing New,Black,1995,,,12
Chixdiggit,From Scene to Shining Scene,Black,2000,,,12
Chixdiggit,Safeways Here We Come,Blue,2011,,,12
Chixdiggit!,Born on the First of July,Black,1998,,,12
Choking Victim,No Gods No Managers,Black,1999,,,12
Chromeo,Bonafied Lovin,Black,2007,,,12
Chromeo,Fancy Footwork,Black,2007,,,12
Chuck Ragan,Los Feliz,Blue,2007,,,12
Chuck Ragan,Feast or Famine,Gray,2008,,,12
Circle Takes the Square,As the Roots Undo,Black,2004,Original Press,,12
Circle Takes the Square,Decompositions,Brown,2012,,,12
Citizens Arrest,88-90',Clear,2002,,,12
City of Caterpillar,City of Caterpillar,Clear,2016,Reissue,,12
Cloud Nothings,Cloud Nothings,Black,2011,,,12
Cloud Nothings,Attack On Memory,Black,2012,,,12
Cloud Nothings,Here and Nowhere Else,Blue,2014,,,12
Cobra Skulls,Sitting Army,Green,2007,,,12
Cock Sparrer,Shock Troops,Green,1983,,,12
Code Orange,I Am King,Green,2014,,,12
Coke Bust,Confined,Black,2013,,,12
Comadre,Comadre,Clear,2012,,,12
Converge,Jane Doe,Yellow,2001,,,12
Converge,No Heroes,Clear,2006,,,12
Converge,Axe to Fall,Coke Bottle Blue,2009,,,12
Converge,All We Love We Leave Behind,Gold,2012,,,12
Crass,Christ the Album,Black,1982,,,12
Creem,Creem,Black,2013,Tour LP,,12
Cro-Mags,Age of Quarrel,Black,1986,1st press Beige labels with old Profile logo,,12
Cursed,One,Silver,2003,Repress,,12
Daft Punk,Musique/Da Funk,Black,1995,,,12
Daft Punk,Digital Love,Black,2001,,,12
Daft Punk,Discovery,Black,2001,,,12
Daft Punk,One More Time,Black,2001,,,12
Daft Punk,Random Access Memories,Black,2013,,,12
Dag Nasty,Can I Say,Black,1986,"2008 Repress, Green cover",,12
Danzig,Danzig,Black,1988,Original Press,,12
Dead Kennedys,Fresh Fruit for Rotting Vegetables,Black,1980,,,12
Dead Kennedys,Bedtime for Democracy,Black,1986,,,12
Dead Kennedys,Give Me Convenience or Give Me Death,Black,1987,,,12
Deafheaven,Roads to Judah,Black/white splatter,2011,,,12
Deafheaven,Demo,Black,2012,,,12
Deafheaven,Split with Bosse-De-Nage,Black,2012,,,12
Deafheaven,Sunbather,Pink/Yellow,2013,,,12
Deafheaven,New Bermuda,Blue,2015,,,12
Death Injection,Hate for Myself and Everyone Else,Black,2014,,,12
"Defiance, Ohio",Share What Ya Got,Gray,2003,Friends and Relatives press - 556/625,,12
"Defiance, Ohio",The Great Depression,Gray,2006,,,12
"Defiance, Ohio","The Fear, The Fear, The Fear",Black,2007,,,12
Depeche Mode,Black Celebration,Black,1986,,,12
Descendents,Milo Goes to College,Black,1982,,,12
Descendents,I Don't Want To Grow Up,Black,1985,,,12
Descendents,Enjoy!,Black,1986,SST,,12
Descendents,Bonus Fat,Black,1987,,,12
Descendents,ALL,Black,1987,,,12
Descendents ,Everything Sucks,White,1996,,,12
Descendents,Cool to be You,Black,2004,,,12
DMX ,And Then There Was X,Black,1999,,,12
Elvis Costello,This Year's Model,Black,1978,,,12
End of a Year,Sincerely,Black,2006,,,12
End of a Year,You Are Beneath Me,Magenta,2010,,,12
Energy,Invasions of the Mind,Orange,2008,,,12
Faith,Split with Void,Black,1982,,,12
Fake Problems,How Far Our Bodies Go,Clear,2007,,,12
Fake Problems,Its Great to be Alive,Gold,2009,,,12
Fake Problems,Real Ghosts Caught on Tape,Green,2010,,,12
Fastbreak,Whenever You're Ready,Black,1999,,,12
Flogging Molly,Swagger,Green,2000,,,12
Flogging Molly,Drunken Lullabies,Black,2002,,,12
Flogging Molly ,Within A Mile of Home,Green,2004,,,12
Foo Fighters,Sonic Highways,Black,2014,,,12
Forgetters,Forgetters,Black,2012,,,12
Frank Turner,Love and Ire Song,White,2008,,,12
Freedom,USA Hardcore,Black/Red,2016,,,12
Frontiers,There Will Be No Miracles Here,White,2010,,,12
Fucked Up,The Chemistry of Common Life,Black,2008,,,12
Fucked Up,David Comes to Life,Black,2011,,,12
Fucking Invincible,It'll Get Worse Before it Gets Better,Black,2014,,,12
Fugazi,Repeater,Black,1990,,,12
Future Islands,Singles,Black,2014,,,12
Gallows,Grey Britain,Red/Gray Splatter,2009,,,12
Get Up Kids,Something to Write Home About,Purple,1999,,,12
Get Up Kids,Eudora,Black,2001,,,12
Ghost,Opus Eponymovs,Blue/White split,2010,,,12
Ghost,If You Have Ghosts,Black,2013,,,12
Ghost,Infestissumam,Black,2013,,,12
Ghost,Meliora,Black,2015,,,12
Ghost Mice,Europe,Gray,2005,,,12
Give,Singles Going Confetti,Black,2012,,,12
Give,Electric Flower Circus,Green,2014,,,12
Give,Sonic Bloom,Red,2015,,,12
Give up the Ghost,Background Music,Black,2001,52/500 EVR Press,,12
Give Up the Ghost,We're Down Till We're Underground,Black,2003,,,12
Gloria Record,A Lull in Traffic,White,2000,,,12
Good Riddance,Bound by Ties of Blood and Affection,Black,2003,,,12
Gorilla Biscuits,Start Today,Black,1989,,,12
Hank Williams III ,Damn Right Rebel Proud 2xLP,Black,2008,,,12
Have Heart,The Things We Carry,Red,2006,,,12
Heavens,Patent Pending,Black,2007,,,12
Hellmouth,"Destroy Everything, Worship Nothing",Black,2008,323/666,,12
Hepcat,Scientific,Black,1996,,,12
Hepcat,Push N Shove,Black,2000,,,12
Hot Water Music,Forever and Counting,Gold,1998,No Idea Press,,12
Hot Water Music,No Divison,Blue,1999,No Idea Press,,12
Hot Water Music,The New What Next ,Clear,2003,,,12
HR,Charge,Gold,1990,,,12
Husker Du,New Day Rising,Black,1985,,,12
In My Eyes,The Difference Between,Black,1998,,,12
Integrity,Humanity is the Devil,Red,1996,RSD 2016,,12
Iron and Wine,The Creek Drank the Cradle,Black,2002,,,12
Iron Lung,White Glove Test,Black,2013,,,12
Jawbreaker,Unfun,Clear,1990,Repress,,12
Jawbreaker,Bivouac,Black,1992,Original Press,,12
Jawbreaker,24 Hour Revenge Therapy,Black,1994,Original Press,,12
Jawbreaker,Dear You,Blue,1995,Geffen Press,,12
Jawbreaker,Etc,Black,2002,,,12
Jets to Brazil,Perfecting Loneliness,Orange,2002,,,12
Johnny Thunders,Belfast Rocks,Black,2003,,,12
Joyce Manor,Joyce Manor,Coke Bottle Clear,2011,,,12
Joyce Manor,Of All Things I Will Soon Grow Tired,Blue,2012,,,12
Joyce Manor,Never Hungover Again,Clear,2014,,,12
Judge,Bringin It Down,Purple,1989,,,12
Kamasi Washington,The Epic,Black,2015,,,12
Kid Dynamite,Kid Dynamite,Black,1998,,,12
Kid Dynamite,"Shorter, Faster, Louder",Black,2000,,,12
LaGrecia,On Parallels,Black,2008,,,12
Lagwagon,Duh,Black,1996,,,12
Lawrence Arms,The Greatest Story Ever Told,Black,2003,,,12
Lawrence Arms,Oh Calcutta,Black,2006,,,12
Left for Dead,Devoid of Everything,Gray,2013,,,12
Legendary Shack Shakers,Swampblood,Black,2007,,,12
Les Miserables,Broadway Soundtrack,Black,1985,,,12
Lifetime,Background,Black,1992,,,12
Lifetime,Hello Bastards,Black,1995,Jade Tree Press,,12
Lifetime,Jersey's Best Dancers,Black,1997,Jade Tree Press,,12
Lucero,Tennessee,Brown,2002,,,12
Lucero,That Much Further West,Black,2003,Sabot Press,,12
Lucero,Nobodys Darlings,Black,2005,,,12
Lucero,"Rebels, Rogues, and Sworn Brothers",Black,2006,,,12
Lucero,The Attic Tapes,Black,2006,2006 Press,,12
Lucero,Texas & Tennessee,Blue Splatter,2014,,,12
Lucero,All A Man Should Do,Gray,2015,Bootleg version /1372,,12
Magrudergrind,Rehashed,Red,2007,,,12
Magrudergrind,Magrudergrind,Black,2009,,,12
Magrudergrind,II,Black,2016,,,12
Mars Volta,Tremulant EP,Yellow,2002,Original Press,,12
Mars Volta,Deloused in the Comatorium,Silver,2003,Original Press 2xLP,,12
Mars Volta,Frances the Mute,Black,2005,Original Press,,12
Mass Movement of the Moth,Outerspace,Green,2006,,,12
Mass Movement of the Moth,Split with The Catalyst,Black,2006,,,12
Mastodon,Leviathan,Gold,2004,,,12
Matt Skiba,Split with Kevin Seconds,Pink,2002,,,12
Megadeth,Rust in Peace,Black,1990,,,12
Metallica,Master of Puppets,Black,1986,,,12
Millencolin,Life on a Plate,Black,1995,,,12
Millencolin,For Monkeys,Black,1997,,,12
Millencolin,Pennybridge Pioneers,Black,1999,,,12
Mindset,Collection,Clear,2012,,,12
Mindset,Leave No Doubt,Clear,2012,Tour Press,,12
Minor Threat ,Out of Step,Black,1983,"red stripe, 3rd UK press",,12
Minor Threat ,Minor Threat,Black,1984,red cover 1st press,,12
Minutemen,Double Nickels on the Dime,Black,1984,,,12
Misfits,Walk Among Us,Black,1982,Repress,,12
Misfits,Earth AD,Black,1983,Repress,,12
Misfits,Die Die My Darling,Black,1984,,,12
Misfits,Legacy of Brutality,Black,1985,,,12
Misfits,Collection I,Black,1986,,,12
Misfits,Static Age,Black,1997,,,12
Misfits,Evilive Complete,Red,2007,Bootleg /138,,12
Misfits,Walk Among Us,Red,2007,Bootleg Lost Plan 9 version  /138,,12
Modern Life is War,My Love My Way,Red,2003,,,12
Modern Life is War,Witness,Purple,2005,,,12
Modern Life is War,Midnight in America,Black/white,2007,,,12
Modern Life is War,Fever Hunting,Green/gray split,2013,,,12
Mumford and Sons,Sigh No More,Black,2009,,,12
Mumford and Sons,Babel,Black,2012,,,12
My Chemical Romance,The Black Parade,Black,2006,,,12
Nails,Obscene Humanity,Black,2009,Original Press,,12
Nails,Unsilent Death,Black,2010,,,12
Nails,Abandon All Life,Black,2013,,,12
Negative Approach,Tied Down,Black,1983,,,12
Nekromantix,Dead Bodies,Black,2005,,,12
Neutral Milk Hotel,On Avery Island,Black,1995,Original Press,,12
Neutral Milk Hotel,In An Aeroplane Over the Sea,Black,1998,Original Press,,12
Neutral Milk Hotel,Box Set,Black,2011,,,12
New Found Glory,Not Without a Fight,Green,2009,,,12
Nirvana,Bleach,Black,1989,,,12
No Age,Nouns,Black,2008,,,12
No Age,An Object,Black,2013,,,12
No Warning,Ill Blood,Black,2002,Original Press,,12
NOFX,The Longest Line,White,1992,,,12
NOFX,The Decline,Black,1999,,,12
NOFX,Wolves in Wolves Clothing,Black,2006,,,12
None More Black,File Under Black,Black,2003,,,12
None More Black,Loud About Loathing,Black,2004,,,12
None More Black ,This is Satire,Green,2006,,,12
Nothing,Downward Years to Come 2.0,Clear,2012,,,12
Nothing,Guilty of Everything,Red,2014,Red cover,,12
Nothing,ACD,White,2016,RSD 2016,,12
Nothing,Tired of Tomorrow,Blue/Bone,2016,,,12
Oathbreaker,Eros Anteros,Clear,2013,,,12
Off With Their Heads,Hospitals,Gray,2006,,,12
Olehole,Holemole,White,2008,,,12
One Man Army,Last Word Spoken,Black,2000,,,12
Operation Ivy,Hectic EP,Black,1988,Repress,,12
Operation Ivy,Energy,Black,1989,Repress,,12
Orchid,Orchid,Blue,2001,,,12
Outkast,ATLiens,Black,1996,,,12
Outkast,Stankonia,Gold,2000,2xLP,,12
Paint it Black,CVA,Clear Blue,2003,,,12
Paint it Black,New Lexicon,Green,2008,,,12
Panic,Circles,Black,2005,,,12
Panic,Strength in Solitude,Green/black splatter,2006,,,12
Perfect Pussy,Say Yes to Love,Black,2014,,,12
Peter Tosh,Legalize It,Black,1976,,,12
Peter Tosh,Equal Rights,Black,1977,,,12
Peter Tosh,Mystic Man,Black,1979,,,12
Pg.99,Document #5,Gray,2000,43/666,,12
Pg.99,Document #8,Black,2001,,,12
Pg.99,Split with Majority Rule,Green,2002,,,12
Pink Floyd,Dark Side of the Moon,Black,1973,,,12
Pissed Jeans,King of Jeans,Yellow,2009,,,12
Power Trip,Manifest Decimation,Black,2013,,,12
Prisoner Abuse ,Prisoner Abuse,Black,2012,,,12
Propagandhi,How to Clean Everything,Gold,1993,,,12
Propagandhi,"Less Talk, More Rock",Black,1996,,,12
Propagandhi,Today's Empires Tomorrow's Ashes,Black,2000,,,12
Propagandhi,Potemkin City Limits,Black,2005,G7 Press 2xLP,,12
Propagandhi,Supporting Caste,Black,2009,Smallman Press,,12
Propagandhi,Failed States,Blue,2012,,,12
Protest the Hero,Kezia,Black,2005,Original Press 180g ,,12
Protest the Hero,Fortress,Clear,2008,,,12
Pulling Teeth,Paranoid Delusions/Paradise Illusions,Blue,2009,,,12
Pulling Teeth,Funerary,Black,2011,,,12
Punch,"Push, Pull",Black,2010,/50,,12
Punch,They Don't Have to Believe,Blue/Gold,2014,,,12
Rancid,And Out Come the Wolves,Black,1995,,,12
Receiving End of Sirens,Between The Heart and the Synapse,White,2005,,,12
Refused,The Shape of Punk to Come,Black,1998,"Original Press, single LP",,12
Reign Supreme,Testing the Limits of Infinite,Blue,2009,,,12
Repugnant,Epitome of Darkness,Black,2012,,,12
Right Idea,Our World,White,2008,,,12
Ringworm,The Promise,Orange,1993,Repress,,12
Rise Against,The Unraveling,Black,2001,,,12
Rites of Spring,Rites of Spring,Black,1985,,,12
Riverboat Gamblers ,To the Confusion of Our Enemies,Gray,2006,,,12
Russian Circles,Station,Black/gold,2008,Original Press,,12
Russians Circles,Split with These Arms are Snakes,Clear,2008,,,12
RVIVR,RVIVR,Black,2011,,,12
RVIVR,The Beauty Between,Black,2013,,,12
Santana,Santana,Black,1969,,,12
Santana,Santana Abraxas,Black,1970,With Original Poster,,12
Santana,Moonflower,Black,1977,,,12
Saves the Day,Can't Slow Down,White,1998,,,12
Saves the Day,Through Being Cool,Blue,1999,Original Press,,12
Saves the Day,Stay What You Are,Black,2001,"Vagrant, Original Press",,12
Saves the Day,In Reverie,Black,2003,,,12
Saves the Day,Sound the Alarm,Blue/white,2006,,,12
Saves the Day,Under the Boards,Turquoise,2007,21/25,,12
Saves the Day,Daybreak,Black,2011,,,12
Saves the Day,Saves the Day,Black,2013,,,12
Say Anything,Is a Real Boy,Green/Black,2004,First Press,,12
Say Anything,Say Anything,Black,2009,,,12
Self Defense Family,Try Me,Black/White,2013,,,12
Self Defense Family,Duets,Pink,2014,,,12
Self Defense Family,Heaven is Earth,Clear,2015,,,12
Self Defense Family,Superior,Purple,2016,,,12
Self Defense Family ,The Corrections Officer In Me,Green,2013,,,12
Sensefield,Killed for Less,Black,1994,Original Press,,12
Shook Ones,Sixteen,Green,2005,,,12
Shook Ones,Facetious Folly Feat,Red/yellow splatter,2006,,,12
Shook Ones,The Unquotable AMH,Black,2009,,,12
Silverstein,Discovering the Waterfront,White,2005,,,12
Sinking Ships,Disconnecting,Purple,2006,,,12
Skin Like Iron,Arrival,Black,2011,,,12
Slayer,Hell Awaits,Black,1985,Metal Blade Press,,12
Slayer,South of Heaven,Black,1988,,,12
Sleater Kinney,Dig Me Out,Black,1997,,,12
Smoking Popes,Get Fired,Black,1993,Asian Man Press,,12
Some Girls,All My Friends Are Going Death,Green,2004,,,12
Some Kind of Hate,Undisputed,Purple,2003,,,12
Stand and Fight,Together We Win,Purple,2004,,,12
Starkweather,This Sheltering Night,Black,2010,,,12
Streetlight Manifesto,Everything Goes Numb,Clear Smoke,2003,,,12
Streetlight Manifesto,Somewhere in the Between,Tan,2007,"First Press, single LP",,12
Streetlight Manifesto,The Hands That Thieve,Clear Smoke,2013,,,12
Strike Anywhere,Change is a Sound,Black,2001,,,12
Strike Anywhere,Exit English,Orange,2003,,,12
Strike Anywhere,To Live in Discontent,Picture Disc,2005,,,12
Sublime ,Jah Won't Pay the Bills,Black,1992,RSD 2016,,12
Sufjan Stevens,Carrie & Lowell,Black,2015,,,12
Suicide Machines,War Profiteering is Killing us All/A Match and some Gasoline,Red/Blue,2008,,,12
Sunny Day Real Estate,Diary,Red,1994,Repress,,12
Superchunk,I Hate Music,Black,2013,,,12
Taking Back Sunday,Tell All Your Friends,Yellow,2002,,,12
Talking Heads,Talking Heads '77,Black,1977,,,12
Talking Heads,Fear of Music,Black,1979,,,12
Talking Heads,Remain in Light,Black,1980,,,12
Talking Heads,Speaking in Tongues,Black,1983,,,12
Tear it Up,Just Can't Stand It,Black,2001,,,12
Tear it Up,Nothing to Nothing,Black,2002,,,12
Tear It Up ,Taking You Down With Me,Black,2003,,,12
Tears for Fears,Songs from the Big Chair,Black,1984,,,12
Ted Leo,The Tyranny of Distance,Black,2001,,,12
Ted Leo,Hearts of Oak,Black,2002,,,12
Ted Leo,Living with the Living,Black,2004,,,12
Ted Leo,Shake the Sheets,Black,2004,,,12
Ted Leo,The Brutalist Bricks,Black,2010,,,12
Ted Leo,Live at Third Man Records,Black,2011,,,12
Texas is the Reason,Do You Know Who You Are?,Black,1996,,,12
The Antlers,Hospice,Black,2009,,,12
The Clash,London Calling,Black,1979,,,12
The Clash,Sandinista,Black,1980,,,12
The Clash,Combat Rock,Black,1982,,,12
The Doors,Greatest Hits,Black,1980,,,12
The Ergs,Jersey's Best Prancers,Black,2007,,,12
The Ergs,Upstairs/Downstairs,Black,2007,,,12
The Ergs,Hindsight is 20/20,Black,2008,,,12
The Exploding Hearts,Guitar Romantic,Black,2002,,,12
The Exploding Hearts,Shattered,Black,2006,,,12
The Ghost,Split with Prosperity Wallet,Black,2002,,,12
The Ghost,This Is a Hospital,White,2002,,,12
The Ghost,This Pen is a Weapon,Orange,2003,,,12
The Heartbreakers,Live at Max's Kansas City,Black,1979,Original Press,,12
The Hold Steady,Boys and Girls in America,Black,2006,Euro press,,12
The Hold Steady,Stay Positive,Black,2008,,,12
The Hold Steady,Heaven is Whenever,Black,2010,,,12
The Honor System,Rise and Run,Black,2003,,,12
The Kings of Nuthin,Fight Songs for Fuck Ups,Black,2002,,,12
The Pixies,Surfer Rosa,Black,1988,,,12
The Pogues,Red Roses for Me,Black,1984,,,12
The Pogues,"Rum, Sodomy, and the Lash",Black,1985,,,12
The Pogues,Poguetry in Motion,Black,1986,,,12
The Pogues,If I Should From Grace With God,Black,1988,,,12
The Pogues,Peace and Love,Black,1989,,,12
The Police,Zenyatta Mondatta,Black,1980,,,12
The Postal Service,Give Up,Red,2003,Original Press,,12
The Proclaimers,This is the Story,Black,1987,,,12
The Promise Ring,Nothing Feels Good,Black,1997,,,12
The Promise Ring,Very Emergency,Black,1999,,,12
The Rival Mob,Raw Life,Black,2009,,,12
The Rival Mob,Mob Justice,Red,2013,,,12
The Smiths,Meat is Murder,Black,1985,,,12
The Smiths,Panic,Black,1985,,,12
The Smiths,The Queen is Dead,Black,1986,,,12
The Smiths,Louder than Bombs,Black,1987,,,12
The Specials,The Specials,Black,1980,,,12
The Subhumans,The Day the Country Died,Black,1982,,,12
The Trouble,Nobody Laughs Anymore,Red,2005,,,12
Thin Lizzy,Jailbreak,Black,1976,,,12
Thin Lizzy,Bad Reputation,Black,1977,,,12
Thin Lizzy,Live and Dangerous,Black,1978,,,12
Thin Lizzy,Black Rose,Black,1979,,,12
This Bike is a Pipe Bomb,Three Way Tie for a Fifth,Green,2005,,,12
This is Hell,Misfortunes,Orange,2007,,,12
This is my Fist,A History of Rats,Gray,2006,,,12
Thou,Through the Empires of Eternal Void,Black,2009,,,12
Three 6 Mafia,Da Unbreakables,Black,2003,,,12
Tiger Army,Tiger Army,Orange,1999,,,12
Tiger Army,Power of Moonlight,Black,2001,,,12
Tiger Army,Ghost Tigers Rise,Gray,2004,,,12
Tiger Army,Music from Regions Beyond,Burgundy,2007,,,12
Title Fight,Shed,Black,2011,,,12
Title Fight,Floral Green,Black,2012,,,12
Title Fight,Hyperview,Gray,2015,,,12
Titus Andronicus,The Airing of Grievances,Black,2008,,,12
Titus Andronicus,The Monitor,Black,2010,,,12
Titus Andronicus,The Most Lamentable Tragedy,Black,2015,,,12
Tom Gabel,Heart Burns,Black,2008,,,12
Touche Amore,Parting the Sea...,Red,2011,,,12
Touche Amore,Is Survived By,Light Blue,2013,,,12
Tragedy,Nerve Damage,Black,2006,,,12
Tragedy ,Vengeance,Black,2002,,,12
Trap Them,Seizures in Barren Praise,White,2008,,,12
Trap Them,Darker Handcraft,Black,2011,,,12
Trap Them,Blissfucker,Gray,2014,,,12
Trash Talk,Trash Talk,Blue,2008,,,12
Trash Talk,Eyes and Nines,Clear,2010,,,12
Trial by Fire,Ringing in the Dawn,Yellow,2002,,,12
Tribulation,Children of the Night,Black,2015,,,12
True Love,New Young Gods,Green,2014,,,12
Tuesday,Freewheelin',Black,1997,Original Press,,12
Turnstile,Nonstop Feeling,Green,2015,,,12
V/A,Short Music for Short People,Black,1999,,,12
Vampire Weekend,Contra,Black,2010,,,12
Verse,Aggression,Red,2008,,,12
Violent Reaction,Marching On,Clear,2015,,,12
Warren G,Take A Look Over Your Shoulder,Black,1997,,,12
Weakerthans,Left and Leaving,Black,2000,,,12
Weakerthans,Reunion Tour,Black,2007,,,12
Weekend Nachos,Worthless,Black,2011,,,12
Weekend Nachos,Still,Black,2013,,,12
Whirr,Split with Nothing,Blue/Green,2014,,,12
Whirr,Sway,Yellow,2014,,,12
World Inferno Friendship Society,International Smashism,Black,2001,,,12
World Inferno Friendship Society,Red Eyed Soul,Red,2006,,,12
World Inferno Friendship Society,Addicted to Bad Ideas,Silver,2007,,,12
XTRMST,XTRMST,Black,2014,,,12
Youth of Today,Break Down the Walls,Black,1986,Repress,,12
Youth of Today,We're Not in This Alone,White,1988,,,12